Date,BP,COP,CVX,EQNR,OKE,PXD,XOM
4/1/2011,45.66,60.74,108.32,28.46,29.49,103.81,84.68
4/4/2011,45.89,60.74,108.23,28.97,29.57,104.66,84.87
4/5/2011,46.73,61.23,109.33,29.14,29.47,104.03,85.42
4/6/2011,46.86,61.31,108.66,29.26,29.01,102.34,85.18
4/7/2011,46.95,61.29,108.94,28.96,28.76,103.75,85.76
4/8/2011,46.74,61.59,109.66,29.58,28.65,104.38,85.95
4/11/2011,46.67,61.08,107.78,28.86,28.41,102.33,85.16
4/12/2011,45.3,58.82,104.18,27.89,28.19,97.19,83.18
4/13/2011,45.4,59.2,103.81,27.81,28.21,97.4,83.16
4/14/2011,45.54,59.67,104.88,28.08,28.21,98.24,83.44
4/15/2011,44.96,60.31,106.24,28.14,28.47,100.04,84.29
4/18/2011,44.47,59.16,104.5,26.91,28.12,98.5,83.1
4/19/2011,44.68,59.58,105.4,27.17,28.17,99.32,83.8
4/20/2011,45.91,60.98,107.81,27.75,29.13,102,85.65
4/21/2011,46.03,61.54,108.13,28.05,29.28,100.94,86.36
4/25/2011,45.98,61.35,107.42,28.04,29.41,100.37,86.22
4/26/2011,46.32,61.91,108.75,28.17,29.98,100.5,87.42
4/27/2011,46.53,60.86,108.97,28.8,30.03,100.88,87.78
4/28/2011,46.28,59.04,108.81,29.04,30.25,100.12,87.34
4/29/2011,46.14,60.14,109.44,29.31,30.61,102.23,87.98
5/2/2011,45.92,59.06,108.18,29.03,30.53,101.2,86.97
5/3/2011,44.8,56.82,106.17,28.1,30.43,96.22,85.62
5/4/2011,44.38,56.14,104.68,27.3,29.52,92.33,84.81
5/5/2011,43.48,54.86,102.62,26.09,29.56,88.71,82.62
5/6/2011,44.28,55.6,102.88,25.99,30.41,89.08,82.69
5/9/2011,44.87,56.2,104.09,26.35,30.81,93.92,83.18
5/10/2011,44.98,56.87,104.36,26.63,31.03,95.2,83.34
5/11/2011,43.96,55.28,102.26,25.97,30.51,93.21,81.12
5/12/2011,43.58,54.52,102.76,25.96,30.4,92.97,81.05
5/13/2011,42.93,54.45,102.39,25.75,30.3,92.15,80.87
5/16/2011,42.46,54.45,101.65,25.65,30.25,89.95,80.24
5/17/2011,42.8,54.54,100.41,25.68,30.24,89.44,80.41
5/18/2011,43.27,55.5,102.86,26.08,30.92,91.83,81.74
5/19/2011,43.89,55.42,103.87,26.26,30.92,90.96,82.33
5/20/2011,45,55.35,102.57,24.76,30.89,90.94,81.57
5/23/2011,44.03,54.38,101.37,24.01,30.62,89.22,80.67
5/24/2011,44.37,54.82,102.27,24.45,30.55,90.73,81.29
5/25/2011,44.71,54.86,103.25,24.58,30.83,91.3,81.96
5/26/2011,45.38,55.15,103.36,24.94,30.63,91.12,82.39
5/27/2011,45.54,55.37,103.21,25.44,30.65,91.14,82.63
5/31/2011,46.24,55.82,104.91,26.34,31.12,91.82,83.47
6/1/2011,45.34,55.15,102.49,25.27,30.82,91.28,82.03
6/2/2011,45,55,101.12,25.55,30.65,91.55,81.33
6/3/2011,44.63,55.18,101,25.48,30.51,91.18,81.18
6/6/2011,43.94,54.06,99.68,25,29.94,88.08,80.29
6/7/2011,44,54.03,99.47,24.99,30.17,88,80
6/8/2011,43.49,54.48,99.95,24.59,30.25,86.95,80.76
6/9/2011,44.24,55.28,101.23,24.99,30.44,88.39,81.18
6/10/2011,43.08,54.5,99.67,24.42,30.22,86.43,79.78
